,Var1,Var2,Var3,Var4,Var5,Label
0,-13.631926072596475,12.573362430175434,6.08898408987891,-10.642814625167722,-8.039518616509415,2
1,-12.91853937050569,8.928074734237882,6.252582137730042,-9.658388005224305,-12.872627863797284,0
2,-12.81765987539025,11.985210835068742,7.387556380814687,-10.210011555283153,-9.624412379007026,2
3,-12.668942760494964,7.622252628393186,9.482878191137754,-9.135697228056763,-12.057752144592419,0
4,-12.2920294252819,7.903124820634771,8.811844648326417,-9.402878891791834,-11.757409121783361,2
5,-11.573727184261601,7.462946432654896,8.74773965116408,-9.486218635679531,-11.913080432192487,0
6,-12.922966710470462,8.602950017882062,7.183115689655341,-9.572737988392852,-12.21798389838583,1
7,-10.662989553932757,12.31061688483423,8.774795289217721,-10.567940005113794,-8.280660654123036,2
8,-7.965428746175556,10.38700032769116,13.469741975443675,-9.349334694303131,-11.904183397497217,1
9,-11.669179946477607,7.07800583292275,8.17603744591798,-9.413247323589468,-12.733816745152813,0
10,-12.425748932327583,11.372961316225176,8.436130038894756,-10.342306968451764,-7.911668544242493,2
11,-11.91910677676211,7.809688986117651,9.444679007256102,-9.496679839291318,-10.8663247135861,0
12,-7.342286760840816,11.257334840558656,11.826145861619883,-9.783374386915883,-12.169424295422063,1
13,-5.931233077520159,10.392014682230913,10.349835526454905,-10.499799610767386,-10.872771188237063,2
14,-11.542562881123864,12.785429415145417,7.784224882765265,-10.636950692132814,-8.290054137329125,2
15,-9.595063854611372,13.07353350384896,13.543023077337246,-8.786623685120091,-14.262591195558068,1
16,-11.855963645095557,10.820544374574027,8.926913237706403,-10.322538645630644,-7.853361170593034,2
17,-10.128119044762304,8.848655819705165,8.584027879953931,-10.381344161968627,-8.932600247187741,0
18,-12.622887972849412,9.35290264136849,6.630858106397717,-9.847147097786925,-11.823716402147086,0
19,-5.7898272419969885,9.59061452387964,11.331609069848895,-10.40621211532927,-10.193131170297022,1
20,-9.237053561368347,12.357966845406025,13.394300348901787,-8.990729968797691,-13.400267280513326,1
21,-9.741951060778119,7.424540509143113,9.683846342000813,-9.965075282128605,-9.961353651065375,0
22,-11.164374554828807,7.444121949286169,7.391139460469831,-9.794478606862429,-12.072339901449082,0
23,-12.843236465817753,8.421949660333922,5.579590256765197,-9.55678129041131,-14.090451607620398,0
24,-12.340083874593613,11.683551552185255,7.71640845817542,-10.715720078879242,-6.799997414910362,1
25,-12.21919559192042,7.786234380916474,6.269786031752142,-9.549493462056317,-13.768401276105749,0
26,-10.841173911521881,13.100275196512703,8.711405325347338,-10.135361922787796,-10.8504149185335,2
27,-11.77454871364792,12.956956895961046,7.404392331072585,-10.60746786046385,-8.704409167599637,2
28,-12.53688112866645,8.19264321209749,6.794998834899251,-9.602994500542511,-12.716096276666262,0
29,-12.142174245515951,8.646262346514275,7.864749409956418,-9.771853549818145,-11.122189963129028,0
30,-11.280655236198909,11.730840691421372,9.142878261314616,-10.345685262597623,-8.334781650318766,2
31,-6.471759547842827,12.671687650417248,9.498476145305398,-10.779533610003385,-10.460561373468225,1
32,-12.644029001833367,10.540543829761475,8.569884984764075,-9.8582035858387,-9.990552029121872,2
33,-12.356958286975134,10.750998570394577,8.83669518808105,-10.091397047483,-8.738610923854255,2
34,-11.18136144341316,11.276080537955592,9.826052947950004,-10.18626326776212,-8.422820974102958,2
35,-12.48934874596634,11.060406452778007,8.5982148847818,-9.794811235814382,-10.630442934575107,2
36,-11.711696371982956,8.066334888459878,6.716820132313471,-9.803714629266212,-12.43566841066638,0
37,-11.931595702888355,7.411857234801386,7.954250957694745,-9.436605686719243,-12.701968832871643,1
38,-11.324271796774168,12.598285860980905,8.252483516252536,-10.616489071584445,-8.03921618103457,2
39,-12.029284203512626,11.699080917213566,8.387358816975006,-10.210352451948706,-9.190231860083841,2
40,-11.98097856339571,8.990600192872577,9.059049497210395,-9.801119362552319,-9.910773417858328,0
41,-11.21933473202808,11.623089764627547,9.572001447924256,-9.711380090450522,-11.43126992577224,2
42,-12.409950952110595,7.567375384125959,7.987498649938388,-9.309611854713491,-12.9637997177099,0
43,-12.497292007751847,11.5127355736269,7.569979717326575,-10.717755003699349,-6.743070160216178,2
44,-10.858372441672822,12.525150473936645,9.295180149055266,-10.366674863097279,-8.71332687475036,2
45,-12.31348020349363,11.426731048009101,8.010151550010235,-10.315274081669395,-8.657159780770465,2
46,-9.230793241540036,12.715177277843374,13.000956483855303,-9.148378373432045,-13.073501807011489,1
47,-9.621777160097455,12.992815141540827,10.144882815934922,-10.606507945460185,-7.781501515014849,2
48,-11.958373069406221,8.962270865729462,9.5518028103352,-9.824032850500064,-9.253095589546781,0
49,-11.852732691658238,7.7394894003520776,7.2267070953050325,-9.555247971199897,-13.021453510943028,0
50,-11.708801785938547,7.1078552405645725,7.141302306948907,-9.466220551533034,-13.548018951288329,0
51,-11.396045791104083,12.021503290750635,8.774265586320556,-10.35898936673487,-8.648576933862914,2
52,-12.106291542516093,10.99493823745755,8.585022422728823,-10.498003854365969,-7.06398257804448,2
53,-7.266004498802525,10.934031359797217,11.512319212265778,-9.928166532754412,-11.675040653266867,1
54,-12.364455981077445,9.206502296965317,9.706675318164976,-9.693655357569865,-9.498292471359946,0
55,-10.235851760318932,13.543101512916229,8.577039749545996,-10.753393824520105,-8.271472234711599,2
56,-11.697892620463351,12.324161927895391,8.101384910861498,-10.437537161433037,-8.756709778394118,2
57,-11.758219880348312,9.710953322669056,7.160371337309012,-10.214549865332382,-10.137386031042183,0
58,-12.145205596988689,9.007633972945236,6.333111041305033,-9.964566106340598,-11.844640259340869,2
59,-11.997961188669741,10.602623700670692,9.34933998412695,-9.762534846854939,-10.310414930935044,2
60,-7.224905471388624,12.440332290641292,10.605513585391984,-10.291113759511406,-11.170401208492578,1
